,AreaName,AvgPrice,Latitude,Longitude,PinCode,District,NormPrice,EconomicCategory,CategoryValue
40,Sector 11 Dwarka,13176.38,28.589461,77.050047,110075,South West District,12.665996829057532,Category I,1
41,Dwarka Mor,997.85,28.618973,77.031514,110059,South West District,0.9024358533252684,Category I,1
42,Sector 4 Dwarka,16716.11,28.602437,77.048068,110078,West District,16.085114710495503,Category I,1
43,Sector 7 Dwarka,11841.51,28.593441,77.072453,110075,South West District,11.376610947536879,Category I,1
44,Dwarka New Delhi 110075,43931.02,28.575835,77.043334,110075,South West District,42.37270879894999,Category III,3
45,Navjeevan Vihar,9803.92,28.533019,77.199801,110017,South District,9.408449419951669,Category I,1
46,Gulmohar Park,44385.85,28.556303,77.213521,110049,South District,42.812041003952764,Category III,3
47,Anand Niketan,34421.58,28.579845,77.164595,110021,New Delhi District,33.187291734241256,Category II,2
48,Lalita Park,6253.77,28.630145,77.274076,110092,East District,5.979266587705421,Category I,1
49,Khanpur Deoli,466.51,28.509519,77.230424,110062,South District,0.38920063619761996,Category I,1
50,Hari Nagar,20296.49,28.624511,77.111014,110064,West District,19.54349749119993,Category I,1
51,Jangpura,3490.91,28.585417,77.246022,110014,South East Delhi District,3.31054777866922,Category I,1
52,Neb Sarai,4949.95,28.505609,77.198864,110062,South District,4.719872714111544,Category I,1
53,Zone L Dwarka,6307.02,28.597807,77.073263,110045,South West District,6.030702156855208,Category I,1
54,Guru Angad Nagar,7311.11,28.549345,77.253946,110019,South East Delhi District,7.0005789761530215,Category I,1
55,Golf Links,2845.53,28.597261,77.231184,110003,New Delhi District,2.6871583398356265,Category I,1
56,Punjabi Bagh,13690.83,28.667505,77.127874,110026,West District,13.162917552984432,Category I,1
57,Nawada,6609.95,28.622926,77.049585,110059,West District,6.323310174931162,Category I,1
58,Sector 5 Dwarka,13246.96,28.59772,77.057337,110075,South West District,12.734171898927801,Category I,1
59,Paryavaran Complex,5125.22,28.51606,77.203128,110068,South District,4.889170595893384,Category I,1
60,Ramesh Park,6900.4,28.635525,77.271834,110092,East District,6.603863434265535,Category I,1
61,Badarpur,3452.11,28.503489,77.300538,110044,South East Delhi District,3.2730698428380145,Category I,1
62,Sector 13 Dwarka,1352.46,28.599383,77.036146,110078,South West District,1.2449629364465007,Category I,1
63,Vishwakarma Park,6443.1,28.63599,77.273982,110092,East District,6.162145391595168,Category I,1
64,Freedom Fighter Enclave,4668.3,28.509987,77.19899,110068,South District,4.447819605171878,Category I,1
65,Jor Bagh,4500.0,28.588308,77.21383,110003,South East Delhi District,4.285254228873118,Category I,1
66,Om Vihar,5535.2,28.626044,77.05264,110059,West District,5.285181011668581,Category I,1
67,Janakpuri,14605.96,28.621667,77.088521,110058,West District,14.046865579201212,Category I,1
68,Sector 24 Rohini,21117.92,28.725017,77.085407,110085,North West District,20.336938234236708,Category II,2
69,Mahavir Enclave,8866.37,28.596709,77.08236,110045,South West District,8.502845328752011,Category I,1
70,Shahdara,14918.18,28.671679,77.294197,110032,Shahdara District,14.348447051500674,Category I,1
71,Patel Nagar,24126.85,28.652637,77.163834,110008,West District,23.24334249868489,Category II,2
72,Sector 18A Dwarka,15335.71,28.58863,77.036704,110078,South West District,14.751750209944053,Category I,1
73,Niti Bagh,16818.18,28.558991,77.215324,110049,South District,16.183706795812284,Category I,1
74,Khanpur Krishna Park,4483.39,28.509358,77.232441,110062,South District,4.26921019500311,Category I,1
75,Mehrauli,12612.03,28.521341,77.179337,110030,South District,12.120876388687924,Category I,1
76,Jaitpur,2352.82,28.50552,77.327316,110044,South East Delhi District,2.211236851088377,Category I,1
77,C R Park,17361.11,28.544341,77.253064,110019,South East Delhi District,16.70813709738023,Category I,1
78,I P Extension Patparganj,15136.3,28.612117,77.291734,110091,East District,14.559134870147645,Category I,1
79,Jasola,11324.78,28.542536,77.298059,110025,South East Delhi District,10.877487911916806,Category I,1
80,Shanti Niketan,26136.36,28.576494,77.168906,110021,New Delhi District,25.184380819101538,Category II,2
81,West Punjabi Bagh,13890.39,28.663638,77.052814,,West District,13.355677781708023,Category I,1
82,Maharani Bagh,115.23,28.573233,77.265296,110065,South East Delhi District,0.049890087259839365,Category I,1
83,Karol Bagh,15655.69,28.652979,77.192229,110005,Central District,15.060827269409755,Category I,1
84,Sector 24 Dwarka,4668.88,28.570317,77.035992,110077,South West District,4.448379842356983,Category I,1
85,Kota House Entrance,15287.42,28.606087,77.225119,110011,New Delhi District,14.705105634653105,Category I,1
86,Sector 3 Dwarka,17749.69,28.606631,77.044155,110078,West District,17.08347669287739,Category I,1
87,Delhi,21620.23,28.632694,77.21966,,New Delhi District,20.822132614323642,Category II,2
88,Vishwas Park,4464.29,28.611805,77.057041,110059,West District,4.250761004941872,Category I,1
89,Jangpura Extension,13888.89,28.581219,77.242403,110014,South East Delhi District,13.354228892436199,Category I,1
90,Sector 14 Dwarka,12569.07,28.601374,77.027647,110078,South West District,12.079380199942856,Category I,1
91,Lajpat Nagar,10288.53,28.576062,77.241561,110024,South East Delhi District,9.876546906631065,Category I,1
92,South Extension 2,25000.0,28.566668,77.220915,110049,South East Delhi District,24.086740943814196,Category II,2
93,Nizamuddin,1109.05,28.589526,77.244335,110013,South East Delhi District,1.0098468446765587,Category I,1
94,Sector 18B Dwarka,43904.58,28.585601,77.03178,110078,South West District,42.34716971071863,Category III,3
95,Chittaranjan Park,20944.52,28.538075,77.248299,110019,South East Delhi District,20.169446634413745,Category II,2
96,Dwarka More Mohan Garden,10589.84,28.636866,77.037293,110059,West District,10.167590124293449,Category I,1
97,Mayur Vihar I,11284.72,28.598894,77.294371,110091,East District,10.838792909097265,Category I,1
98,Tagore Garden,13248.88,28.645861,77.110687,110027,West District,12.73602647719574,Category I,1
99,Sector 9 Dwarka,13763.46,28.57934,77.065129,110077,South West District,13.233072771526194,Category I,1
100,L Zone Dwarka Phase 2 Delhi,4400.0,28.613626,77.019343,110078,South West District,4.1886616107514545,Category I,1
101,Preet Vihar,35433.03,28.639118,77.294735,110092,East District,34.16427777023282,Category II,2
102,Najafgarh,3513.23,28.613304,76.980431,110043,South West District,3.3321072510339755,Category I,1
103,Chattarpur Enclave Phase 2,8306.16,28.500421,77.187847,110074,South District,7.961723822772637,Category I,1
104,Guru Ram Das Nagar,7777.78,28.687432,77.198608,110007,North District,7.451347747141389,Category I,1
105,Mansa Ram Park,4907.94,28.617651,77.039019,110059,West District,4.679294155238633,Category I,1
106,Ramesh Nagar,6542.06,28.649318,77.130681,110015,West District,6.257733446488365,Category I,1
107,Nawada Uttam Nagar,6177.99,28.618535,77.056782,110059,West District,5.906068701692824,Category I,1
108,Sector-8 Dwarka,7914.0,28.575747,77.073874,110077,South West District,7.58292621154672,Category I,1
109,Jamia Nagar,16273.36,28.560839,77.281419,110025,South East Delhi District,15.657450893761837,Category I,1
110,Kailash Colony,9800.0,28.554173,77.24069,110048,South District,9.404662989321299,Category I,1
111,Sector 2 Dwarka,13666.13,28.598827,77.067843,110075,South West District,13.139059176308379,Category I,1
112,Khirki Extension,6245.41,28.532781,77.217764,110017,South District,5.97119144483045,Category I,1
113,Sangam Vihar,5974.82,28.500277,77.244059,110080,South East Delhi District,5.70982147945504,Category I,1
114,Dwarka Phase 2,6403.8,28.572503,77.018944,110071,South West District,6.124184492673353,Category I,1
115,Ghitorni,5510.91,28.500863,77.131536,110030,New Delhi District,5.261718664726829,Category I,1
116,Safdarjung Development Area,9554.6,28.551221,77.199048,110016,South District,9.167624704450738,Category I,1
117,Munirka,15383.25,28.553441,77.174918,110067,New Delhi District,14.797670340599096,Category I,1
118,Krishan Kunj,4000.0,28.700958,77.278916,110053,North East District,3.802291138264799,Category I,1
119,Param Puri,4600.0,28.618948,77.054646,110059,West District,4.381846846994781,Category I,1
120,Krishna Nagar,7919.11,28.65846,77.283538,110051,Shahdara District,7.587862094332737,Category I,1
121,Sukhdev Vihar,16114.22,28.55518,77.274676,110025,South East Delhi District,15.503733401283021,Category I,1
122,Lajpat Nagar Iii,5786.62,28.567256,77.239107,110024,South East Delhi District,5.528034172150068,Category I,1
123,Tilak Nagar,7827.27,28.637748,77.088869,110018,West District,7.499151433849802,Category I,1
124,Dwarka Sector 12,1282.67,28.594672,77.042238,110078,South West District,1.1775509482593916,Category I,1
125,Uttam Nagar Nanhey Park,4394.34,28.618535,77.056782,110059,West District,4.183194468565768,Category I,1
126,Vasundhara Enclave,12548.67,28.60126,77.321231,110096,East District,12.059675305846037,Category I,1
127,Sector-7 Rohini,12545.45,28.708924,77.118426,110085,North West District,12.056565023542518,Category I,1
128,Lajpat Nagar Ii,22222.22,28.569781,77.242302,110024,South East Delhi District,21.403610516154245,Category II,2
129,Poorvi Pitampura,11505.54,28.69176,77.120353,110034,North West District,11.052088728433525,Category I,1
130,Mayur Vihar,19909.45,28.607676,77.301188,110091,East District,19.16964542202184,Category I,1
131,Duggal Colony,434.19,28.510371,77.230325,110062,South District,0.35798190202069824,Category I,1
132,Vikas Puri,12997.71,28.638774,77.075727,110018,West District,12.493414798259554,Category I,1
133,Jawahar Park,3780.69,28.507696,77.23062,110062,South District,3.5904538674621773,Category I,1
134,Sector-18 Dwarka,11428.96,28.589569,77.033645,110078,South West District,10.978118101475953,Category I,1
135,Vikaspuri,15251.96,28.638774,77.075727,110018,West District,14.67085389226716,Category I,1
136,Hauz Khas Enclave,22413.79,28.548088,77.20364,110016,South District,21.588652994689916,Category II,2
137,South Delhi,7477.94,28.515603,77.227055,,South District,7.1617244409653935,Category I,1
138,Uttam Nagar East,5158.16,28.619541,77.063775,110059,South West District,4.92098820430266,Category I,1
139,South Extension,34953.84,28.571261,77.219909,110049,South East Delhi District,33.701415603455615,Category II,2
140,Sector22 Rohini,17952.04,28.721034,77.073372,110086,North West District,17.278931855646583,Category I,1
141,Lajpat Nagar Iv,15176.97,28.56298,77.240746,110024,South East Delhi District,14.598419087937724,Category I,1
142,Patparganj,15415.62,28.612117,77.291734,110091,East District,14.828937371085077,Category I,1
143,Govindpuri,6550.4,28.535546,77.264039,110019,South East Delhi District,6.265789270839712,Category I,1
144,Sector 17 Dwarka,10957.27,28.591823,77.028044,110078,South West District,10.522500381057878,Category I,1
145,Rama Park,5778.19,28.621244,77.034906,110059,West District,5.519891414442412,Category I,1
146,Anand Lok,49979.18,28.557201,77.218116,110049,South District,48.21478489113722,Category III,3
147,Uttam Nagar Subhash Park Extn,4897.96,28.61231,77.055123,110059,West District,4.669654211950091,Category I,1
148,Palam,9957.71,28.580917,77.088389,110045,South West District,9.556999207360976,Category I,1
149,Okhla,8486.43,28.564067,77.289191,110025,South East Delhi District,8.13585133546056,Category I,1
150,Ganesh Nagar,6273.84,28.635497,77.089232,110018,West District,5.998652726162439,Category I,1
151,Safdarjung,24461.76,28.565741,77.194877,110029,South District,23.56684083603615,Category II,2
152,Mayur Vihar Phase 3,10990.0,28.610627,77.336514,110096,East District,10.5541151449691,Category I,1
153,Kiran Garden,4888.89,28.619453,77.046439,110059,West District,4.660893261486456,Category I,1
154,Tagore Garden Extension,8149.27,28.651729,77.112763,110027,West District,7.810179664201559,Category I,1
155,Matiala,4941.14,28.614166,77.046822,110059,West District,4.711362904455026,Category I,1
156,Priyadarshini Vihar,5849.97,28.642246,77.277938,110092,East District,5.589225595730142,Category I,1
157,Moti Nagar,17929.32,28.662193,77.13917,110015,West District,17.25698601280934,Category I,1
158,Gagan Vihar,976.27,28.644682,77.292236,110051,East District,0.8815911663346134,Category I,1
159,Deoli Khanpur,5967.32,28.509519,77.230424,110062,South District,5.702577033095914,Category I,1
160,Sector 13 Rohini,20278.48,28.721065,77.128913,110089,North District,19.526101160676216,Category I,1
161,Greater Kailash Enclave Ii,103591.16,28.539217,77.238547,110048,South East Delhi District,100.0,Category V,5
162,Rohini Sector 9,21925.72,28.717325,77.127455,110085,North District,21.117213403423513,Category II,2
163,Vishnu Garden,2888.89,28.653971,77.100309,110018,West District,2.72904089905318,Category I,1
164,D Block Vikaspuri,12357.14,28.6336,77.0674,110018,West District,11.874671464357613,Category I,1
165,Nanhey Park New Delhi,6428.57,28.632694,77.21966,,New Delhi District,6.148110484182089,Category I,1
166,Sector 11 Rohini,12541.67,28.73339,77.109005,110085,North West District,12.05291382257752,Category I,1
167,Shalimar Bagh,11360.16,28.708724,77.166944,110088,North District,10.911662380208249,Category I,1
168,Bindapur,6574.19,28.610709,77.068586,110059,South West District,6.288768654690855,Category I,1
169,Uttari Pitampura,12848.58,28.69176,77.120353,110034,North West District,12.349366226854718,Category I,1
170,Gautam Nagar,11820.33,28.561382,77.211631,110049,South District,11.356152631018709,Category I,1
171,Mahipalpur,540.75,28.545272,77.129485,110037,New Delhi District,0.4609109958911432,Category I,1
172,Sewak Park,9156.31,28.617788,77.033562,110059,West District,8.782905965733962,Category I,1
173,D Block Lane,1215.52,28.627061,77.139963,110028,New Delhi District,1.1126890051906941,Category I,1
174,Jain Colony,4809.52,28.685289,77.194123,110007,Central District,4.584227700483292,Category I,1
175,Sector 25 Rohini,7856.87,28.731926,77.094379,110085,North West District,7.527742848813814,Category I,1
176,Shastri Nagar,11133.19,28.673383,77.179699,110052,Central District,10.69242611485751,Category I,1
177,Anand Vihar,12941.36,28.652633,77.311955,110092,Shahdara District,12.438984857947998,Category I,1
178,Dwarka Sector 13,1050.66,28.599383,77.036146,110078,South West District,0.9534464149553192,Category I,1
179,Jagdamba Vihar,31424.9,28.60105,77.095706,110046,South West District,30.29272006551298,Category II,2
180,Dilshad Garden,1271.95,28.682157,77.319274,110095,Shahdara District,1.1671962195967491,Category I,1
181,Tughlakabad,3228.4,28.512079,77.267811,110044,South East Delhi District,3.0569824968380406,Category I,1
182,Aya Nagar,554.69,28.475084,77.133169,110047,South District,0.47437600685730325,Category I,1
183,New Rajendra Nagar,931.82,28.636315,77.17996,110060,Central District,0.8386557475795339,Category I,1
184,Sector 3 Rohini,13571.43,28.70253,77.108311,110085,North West District,13.047585966947164,Category I,1
185,Sector-24 Rohini,10818.45,28.725017,77.085407,110085,North West District,10.388410508581385,Category I,1
186,Rajouri Garden,11552.01,28.643074,77.124982,110027,West District,11.096975318074662,Category I,1
187,Dwarka Sector 19,10119.48,28.576972,77.053127,110075,South West District,9.713257085696391,Category I,1
188,Kailash Hills,129.26,28.554787,77.246769,110065,South East Delhi District,0.06344203158230878,Category I,1
189,Ashok Vihar,9726.4,28.6916,77.167153,110052,North West District,9.333570822383756,Category I,1
190,Bamnoli Dwarka Sector 28,599.21,28.596492,77.075086,110045,South West District,0.5173790404450679,Category I,1
191,Dwarka Sector3,12407.7,28.636282,77.207186,110001,New Delhi District,11.923508692079928,Category I,1
192,Matiala Extension,4706.67,28.614166,77.046822,110059,West District,4.484882192745161,Category I,1
193,Alaknanda,16648.1,28.527939,77.250154,110019,South East Delhi District,16.019422070910956,Category I,1
194,Lalita Park Foot Over Bridge,63.58,28.631705,77.270747,110092,East District,0.0,Category I,1
195,Sainik Nagar Mansa Ram Park,4888.89,28.617651,77.039019,110059,West District,4.660893261486456,Category I,1
196,Mayur Vihar Phase 2,10768.05,28.618247,77.297834,110091,East District,10.339727829048066,Category I,1
197,Chhattarpur Enclave Phase1,4351.47,28.500326,77.191784,110074,South District,4.141785213177011,Category I,1
198,Dlf Ankur Vihar,6451.85,28.552668,77.213231,110049,South District,6.170597245680813,Category I,1
199,Sector 1 Dwarka,10330.81,28.597807,77.073263,110045,South West District,9.917386265572903,Category I,1
200,Sector-D Vasant Kunj,16101.29,28.521405,77.1461,110070,South District,15.491243975759891,Category I,1
201,Civil Lines,17656.97,28.680644,77.21888,110054,Central District,16.993916017354987,Category I,1
202,Kaushambi,7661.32,28.632694,77.21966,,,7.3388559840769005,Category I,1
203,Tigri,12698.25,28.511275,77.238326,110062,South District,12.204158544032422,Category I,1
204,Sector 12 Dwarka New Delhi,10770.12,28.594672,77.042238,110078,South West District,10.341727296243185,Category I,1
205,Sector 4,13884.31,28.524277,77.228379,110017,South District,13.349804950526226,Category I,1
206,South Ex,20631.31,28.515603,77.227055,,South District,19.866908895194886,Category I,1
207,Model Town,13747.54,28.730261,77.171765,,North District,13.217695226721226,Category I,1
208,Dwarka 11 Sector,10999.26,28.589461,77.050047,110075,South West District,10.563059621407165,Category I,1
209,Govind Puri,11886.11,28.535546,77.264039,110019,South East Delhi District,11.419691255219142,Category I,1
210,Rohini Sector 16,14209.67,28.735915,77.122823,110089,North District,13.664078692846873,Category I,1
211,Rohini Sector 5,5833.33,28.713639,77.103875,110085,North West District,5.573152584074697,Category I,1
212,Uttam Nagar Vani Vihar,4375.0,28.61749,77.063792,110059,West District,4.164513456221037,Category I,1
213,Devli,9862.5,28.503704,77.23216,110062,South District,9.46503337564734,Category I,1
214,Paryavaran Complex Main,4250.28,28.51606,77.203128,110068,South District,4.044043142899699,Category I,1
215,Bamnoli Sector 28 Dwarka,5172.84,28.596492,77.075086,110045,South West District,4.93516800064292,Category I,1
216,Nangloi,774.83,28.672178,77.065816,110041,West District,0.6870149963903338,Category I,1
217,Nirman Vihar,11839.1,28.635382,77.287782,110092,East District,11.374283065440146,Category I,1
218,Shanti Park Dwarka,8102.68,28.584408,77.049432,110075,South West District,7.7651771634186755,Category I,1
219,Kirti Nagar,21503.17,28.65052,77.142426,110015,West District,20.70906129555042,Category II,2
220,Raju Park,4463.84,28.60992,77.030927,110078,South West District,4.250326338160324,Category I,1
221,Santnagar,4428.63,28.740852,77.20271,110084,Central District,4.216316077319687,Category I,1
222,Ip Extension,11762.02,28.629337,77.302631,110092,East District,11.299829475391968,Category I,1
223,Loni,5651.87,28.687996,77.291986,110032,Shahdara District,5.397875619231127,Category I,1
224,Dwarka Sector 11 Pocket 4,53589.26,28.587676,77.043674,110075,South West District,51.70185567942378,Category III,3
225,Kamla Nagar,293.63,28.682825,77.203627,110007,Central District,0.2222113179888876,Category I,1
226,North Campus,29831.19,28.852488,77.097797,,North District,28.753313851246205,Category II,2
227,Om Vihar Extn Delhi,4662.86,28.617795,77.050624,110059,West District,4.442564966746059,Category I,1
228,Sector 12 Dwarka Pocket 3,10128.78,28.595862,77.04682,110078,South West District,9.722240199181705,Category I,1
229,Sector-14 Rohini,15131.02,28.714734,77.133387,110085,North West District,14.554034779910822,Category I,1
230,Westend,7702.11,28.671356,77.092747,110087,West District,7.378256113008727,Category I,1
231,Ashok Nagar,6884.79,28.635974,77.101596,110018,West District,6.588785326576745,Category I,1
232,Dabri,10802.96,28.6088,77.084165,110045,South West District,10.373448312034338,Category I,1
233,East Delhi,12340.89,28.635929,77.285827,,East District,11.858975163912842,Category I,1
234,Pandav Nagar,1457.06,28.619713,77.285675,110091,East District,1.3459988150017608,Category I,1
235,Sheikh Sarai,14514.72,28.536347,77.221134,110017,South District,13.958734474427006,Category I,1
236,Block J,5925.93,28.654794,77.146398,110015,West District,5.662597348455359,Category I,1
237,Rohini Sector 24,1017.32,28.725017,77.085407,110085,North West District,0.9212424360735565,Category I,1
238,Arjun Nagar,8287.29,28.561888,77.198002,110029,South District,7.943496795733079,Category I,1
239,Dwarka 10 Sector,536.84,28.590611,77.057569,110075,South West District,0.45713422452258623,Category I,1
240,Mahavir Enclave Bengali Colony,555.11,28.596709,77.08236,110045,South West District,0.4747816958534141,Category I,1
241,Mandawali,4646.3,28.630237,77.291411,110092,East District,4.426569229185112,Category I,1
242,Rama Park Block B,6271.6,28.622718,77.034595,110059,West District,5.996489051516514,Category I,1
243,Sector-8 Rohini,13703.7,28.703195,77.124575,110085,North West District,13.175349022936691,Category I,1
244,Bank Enclave,1462.5,28.642002,77.270898,110031,East District,1.3512534534275795,Category I,1
245,Dwarka Sec 6,8811.73,28.59306,77.065686,110075,South West District,8.450067122210331,Category I,1
246,L Zone Delhi,4374.09,28.636126,77.112166,110027,West District,4.16363446339613,Category I,1
247,Sahibabad,7497.31,28.744516,77.096549,110042,North District,7.18043443109556,Category I,1
248,Sector 21 Dwarka,4371.43,28.55764,77.067198,110077,New Delhi District,4.1610650997540946,Category I,1
249,Sector 15 Rohini,10879.63,28.732456,77.127145,110089,North District,10.447505872348216,Category I,1
250,Narela,7274.73,28.852488,77.097797,110040,North District,6.96543858168036,Category I,1
251,Nawada Extension,5555.56,28.622926,77.049585,110059,West District,5.304847268718152,Category I,1
252,Sadulajab,3950.62,28.632694,77.21966,,New Delhi District,3.7545937034363206,Category I,1
253,Vasant Kunj Enclave,12156.71,28.51498,77.153245,110070,South District,11.681070879856362,Category I,1
254,Mansarovar Garden,7121.88,28.642099,77.133346,110015,West District,6.817796764881397,Category I,1
255,Naraina,6666.67,28.643119,77.144943,110028,West District,6.3780975079297715,Category I,1
256,Saraswati Vihar,8357.14,28.696815,77.12461,110034,North West District,8.01096673949106,Category I,1
257,Sector 18 Dwarka New Delhi,9227.84,28.589569,77.033645,110078,South West District,8.851998665476387,Category I,1
258,Dwarka Sector 7,8827.84,28.593441,77.072453,110075,South West District,8.465628192989733,Category I,1
259,Sector 28 Dwarka,4467.46,28.596492,77.075086,110045,South West District,4.253822990936328,Category I,1
260,Sector-18 Rohini,1243.7,28.740602,77.137224,110089,North District,1.1399088049773791,Category I,1
261,Connaught Place,44218.75,28.632735,77.219696,110001,New Delhi District,42.65063473907146,Category III,3
262,Abul Fazal Enclave Jamia Nagar,5128.21,28.555496,77.297802,110025,South East Delhi District,4.892058715175222,Category I,1
263,Begampur Park,6812.9,28.673665,77.094644,110063,West District,6.519344893409079,Category I,1
264,Geeta Colony,10402.22,28.652544,77.275947,110031,Shahdara District,9.986363054173584,Category I,1
265,Rajpur Khurd Village,6985.42,28.49442,77.190688,110068,South District,6.685986478192573,Category I,1
266,Karampura,15708.28,28.664786,77.147423,110015,West District,15.11162532727994,Category I,1
267,Chattarpur Enclave,3510.8,28.48533,77.174925,110030,South District,3.3297600504136193,Category I,1
268,Dwarka 8 Sector,7444.44,28.575747,77.073874,110077,South West District,7.129365913894635,Category I,1
269,Dwarka Sec 23,8463.06,28.566949,77.055135,110077,South West District,8.113277640605528,Category I,1
270,Fateh Nagar,9411.76,28.63086,77.101612,110018,West District,9.029651808725752,Category I,1
271,Freedom Fighters Enclave,4288.07,28.510955,77.202062,110068,South District,4.080545493287875,Category I,1
272,Sector 18 Sector 18A Dwarka,10344.15,28.58863,77.036704,110078,South West District,9.930271720830333,Category I,1
273,Shivaji Marg,15741.67,28.662335,77.152738,110015,West District,15.143877602470763,Category I,1
274,Vijay Nagar,7148.67,28.690228,77.201634,110009,North District,6.843673927276191,Category I,1
275,Kapashera,5486.11,28.527669,77.076869,110097,New Delhi District,5.237763695432656,Category I,1
276,Dwarka Sub City,9509.9,28.597807,77.073263,110045,South West District,9.124447804150353,Category I,1
277,East Patel Nagar,8000.0,28.647715,77.174001,110005,West District,7.665995863131352,Category I,1
278,Nawada Sainik Nagar,5454.55,28.616509,77.041746,110059,West District,5.20727906515346,Category I,1
279,Sector 7 Dwarka New Delhi,10737.49,28.593441,77.072453,110075,South West District,10.310209124950086,Category I,1
280,Indraprastha,11551.25,28.61453,77.251556,110013,New Delhi District,11.096241214176937,Category I,1
281,Krishna Park Jawahar Park,3720.97,28.509358,77.232441,110062,South District,3.53276875591992,Category I,1
282,Mundka,3672.24,28.681933,77.030648,110041,West District,3.485699173109233,Category I,1
283,Sector-23 Rohini,8428.82,28.719668,77.081978,110085,North West District,8.08020432816067,Category I,1
284,Sector 16B Dwarka,8516.23,28.599926,77.017662,110078,South West District,8.164635935660817,Category I,1
285,Rajpur,4232.22,28.49442,77.190688,110068,South District,4.026598516066927,Category I,1
286,Shakarpur,6250.0,28.626964,77.279287,110092,East District,5.975625046002234,Category I,1
287,Mandi,4636.84,28.454097,77.146367,110047,South District,4.4174315675108025,Category I,1
288,Sector 26 Dwarka,5243.94,28.545199,77.055081,110077,South West District,5.003845352127422,Category I,1
289,Mansarover Garden,1000.0,28.642099,77.133346,110015,West District,0.9045125946148843,Category I,1
